;-10;0.25;-0.37037;0.03125;-0.08;2.6943;0.259298;-2;2.6943;0.25;0.0154271;0.19245;-0.0749891;0.0482098;-0.0334785;-10;0.0154271;0.0385964;0.0154271;-0.37037;-0.0749891;-0.00984713;0.259298;-0.240563;0.259298;0.03125;0.0385964;0.0482098;-0.00984713;0.0240563;-0.0749891;-0.08;-0.0334785;0.0997889;-0.0385678;0.0631702;0.00925926;0.0179798;0.0164112;-0.0334785;-0.0291545
-10;;-10;0.25;-0.37037;0.03125;-10;0.0154271;0.0154271;0.25;2.6943;-2;0.0154271;-0.240563;-0.0749891;-0.0385678;-10;2.6943;0.259298;-0.37037;0.0154271;0.259298;0.0997889;0.03125;0.259298;-0.240563;0.259298;-0.25;0.0385964;-0.0906343;-0.00984713;-0.0749891;0.0385964;0.0631702;-0.0385678;0.0997889;-0.0906343;0.0631702;-0.0740741;0.0179798;-0.00984713;0.0179798
0.25;-10;;-10;0.25;-0.37037;-10;2.6943;-0.240563;0.0154271;-2;2.6943;0.25;0.0154271;0.19245;-0.0749891;2.6943;-10;0.0154271;0.259298;0.0154271;-0.37037;-0.0749891;0.0385964;-0.25;0.259298;-0.240563;0.259298;0.03125;0.0385964;0.0482098;0.0385964;-0.0749891;-0.08;0.0631702;-0.0906343;0.0997889;-0.0385678;0.0631702;0.00925926;-0.00984713;-0.0334785
-0.37037;0.25;-10;;-10;0.25;2.6943;-10;-0.0749891;0.19245;0.0154271;0.25;2.6943;-2;0.0154271;-0.240563;0.0154271;-10;2.6943;-0.0749891;-0.37037;0.0154271;0.259298;0.0482098;0.0385964;0.03125;0.259298;-0.240563;0.259298;-0.25;0.0385964;-0.08;-0.0749891;0.0385964;0.00925926;0.0631702;-0.0385678;0.0997889;-0.0906343;0.0631702;-0.0334785;-0.00984713
0.03125;-0.37037;0.25;-10;;-10;0.0154271;-10;-0.0385678;-0.0749891;-0.240563;0.0154271;-2;2.6943;0.25;0.0154271;0.259298;2.6943;-10;0.0997889;0.259298;0.0154271;-0.37037;-0.00984713;-0.0906343;0.0385964;-0.25;0.259298;-0.240563;0.259298;0.03125;0.0631702;0.0385964;-0.0749891;0.0179798;-0.0740741;0.0631702;-0.0906343;0.0997889;-0.0385678;0.0179798;-0.00984713
-0.08;0.03125;-0.37037;0.25;-10;;0.259298;2.6943;-0.0334785;0.0482098;-0.0749891;0.19245;0.0154271;0.25;2.6943;-2;0.0385964;0.0154271;-10;-0.00984713;-0.0749891;-0.37037;0.0154271;0.0240563;-0.00984713;0.0482098;0.0385964;0.03125;0.259298;-0.240563;0.259298;-0.0334785;-0.08;-0.0749891;0.0164112;0.0179798;0.00925926;0.0631702;-0.0385678;0.0997889;-0.0291545;-0.0334785
2.6943;-10;-10;2.6943;0.0154271;0.259298;;-2;0.259298;-0.37037;0.0154271;0.0154271;-0.37037;0.259298;-0.0749891;0.0997889;0.25;0.25;-0.240563;0.03125;0.19245;0.03125;-0.0385678;-0.08;0.0385964;-0.0749891;-0.0749891;0.0385964;-0.08;0.0631702;-0.0334785;0.0482098;0.0482098;0.00925926;-0.0334785;-0.00984713;-0.00984713;-0.0334785;0.0179798;-0.0291545;0.0240563;0.0164112
0.259298;0.0154271;2.6943;-10;-10;2.6943;-2;;0.0997889;-0.0749891;0.259298;-0.37037;0.0154271;0.0154271;-0.37037;0.259298;-0.240563;0.25;0.25;-0.0385678;0.03125;0.19245;0.03125;-0.0334785;0.0631702;-0.08;0.0385964;-0.0749891;-0.0749891;0.0385964;-0.08;0.00925926;0.0482098;0.0482098;-0.0291545;0.0179798;-0.0334785;-0.00984713;-0.00984713;-0.0334785;0.0164112;0.0240563
-2;0.0154271;-0.240563;-0.0749891;-0.0385678;-0.0334785;0.259298;0.0997889;;-10;0.25;-0.37037;0.03125;-0.08;0.00925926;-0.0291545;2.6943;0.259298;0.0631702;-10;0.0154271;0.0385964;0.0179798;2.6943;0.25;0.0154271;0.19245;-0.0749891;0.0482098;-0.0334785;0.0164112;-0.37037;-0.0749891;-0.00984713;0.259298;0.03125;0.0385964;0.0482098;-0.00984713;0.0240563;-0.08;-0.0334785
2.6943;0.25;0.0154271;0.19245;-0.0749891;0.0482098;-0.37037;-0.0749891;-10;;-10;0.25;-0.37037;0.03125;-0.08;0.00925926;-10;0.0154271;0.0385964;-10;2.6943;0.259298;0.0631702;0.25;2.6943;-2;0.0154271;-0.240563;-0.0749891;-0.0385678;-0.0334785;0.0154271;0.259298;0.0997889;-0.240563;0.259298;-0.25;0.0385964;-0.0906343;-0.00984713;0.0385964;0.0631702
0.25;2.6943;-2;0.0154271;-0.240563;-0.0749891;0.0154271;0.259298;0.25;-10;;-10;0.25;-0.37037;0.03125;-0.08;-10;2.6943;0.259298;2.6943;-10;0.0154271;0.0385964;0.0154271;-2;2.6943;0.25;0.0154271;0.19245;-0.0749891;0.0482098;0.0154271;-0.37037;-0.0749891;0.259298;-0.240563;0.259298;0.03125;0.0385964;0.0482098;-0.0749891;-0.08
0.0154271;-2;2.6943;0.25;0.0154271;0.19245;0.0154271;-0.37037;-0.37037;0.25;-10;;-10;0.25;-0.37037;0.03125;2.6943;-10;0.0154271;0.0154271;-10;2.6943;0.259298;0.19245;0.0154271;0.25;2.6943;-2;0.0154271;-0.240563;-0.0749891;-0.37037;0.0154271;0.259298;0.03125;0.259298;-0.240563;0.259298;-0.25;0.0385964;-0.0749891;0.0385964
0.19245;0.0154271;0.25;2.6943;-2;0.0154271;-0.37037;0.0154271;0.03125;-0.37037;0.25;-10;;-10;0.25;-0.37037;0.0154271;-10;2.6943;0.259298;2.6943;-10;0.0154271;-0.0749891;-0.240563;0.0154271;-2;2.6943;0.25;0.0154271;0.19245;0.259298;0.0154271;-0.37037;0.0385964;-0.25;0.259298;-0.240563;0.259298;0.03125;0.0385964;-0.0749891
-0.0749891;-0.240563;0.0154271;-2;2.6943;0.25;0.259298;0.0154271;-0.08;0.03125;-0.37037;0.25;-10;;-10;0.25;0.259298;2.6943;-10;0.0385964;0.0154271;-10;2.6943;0.0482098;-0.0749891;0.19245;0.0154271;0.25;2.6943;-2;0.0154271;-0.0749891;-0.37037;0.0154271;0.0482098;0.0385964;0.03125;0.259298;-0.240563;0.259298;-0.08;-0.0749891
0.0482098;-0.0749891;0.19245;0.0154271;0.25;2.6943;-0.0749891;-0.37037;0.00925926;-0.08;0.03125;-0.37037;0.25;-10;;-10;0.0385964;0.0154271;-10;0.0631702;0.259298;2.6943;-10;-0.0334785;-0.0385678;-0.0749891;-0.240563;0.0154271;-2;2.6943;0.25;0.0997889;0.259298;0.0154271;-0.00984713;-0.0906343;0.0385964;-0.25;0.259298;-0.240563;0.0631702;0.0385964
